id,name,size,url,title,description,min_cpu,min_gpu,min_ram,rec_cpu,rec_gpu,rec_ram,rating,reviews_count,downloads,views,categories
35,Marvel’s Spider Man Miles Morales,N/A,https://www.wifi4games.com/pc_games/Marvel’s_Spider_Man_Miles_Morales.html,تحميل لعبة سبايدرمان: مايلز موراليس Marvel’s Spider Man Miles Morales,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
36,Brotato,N/A,https://www.wifi4games.com/pc_games/Brotato.html,تحميل لعبة البطاطا المقاتلة بروتيتو Brotato,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
37,Balatro,N/A,https://www.wifi4games.com/pc_games/Balatro.html,تحميل لعبة الورق Balatro,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
38,ENDER LILIES: Quietus of the Knights,N/A,https://www.wifi4games.com/pc_games/ENDER_LILIES:_Quietus_of_the_Knights.html,تحميل لعبة ENDER LILIES: Quietus of the Knights,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
39,CarX Street,N/A,https://www.wifi4games.com/pc_games/CarX_Street.html,تحميل لعبة Car X Street,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
40,Visage,N/A,https://www.wifi4games.com/pc_games/Visage.html,تحميل لعبة الرعب فيزج Visage مع اللغة العربية,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
41,Cities: Skylines II,N/A,https://www.wifi4games.com/pc_games/Cities:_Skylines_II.html,تحميل لعبة بناء المدن سيتيز: سكاي لاينز Cities: Skylines II,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
42,Door Kickers 2: Task Force North,N/A,https://www.wifi4games.com/pc_games/Door_Kickers_2:_Task_Force_North.html,تحميل لعبة Door Kickers 2: Task Force North,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
43,TCG Card Shop Simulator,N/A,https://www.wifi4games.com/pc_games/TCG_Card_Shop_Simulator.html,تحميل لعبة TCG Card Shop Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
44,Ready or Not,N/A,https://www.wifi4games.com/pc_games/Ready_or_Not.html,تحميل لعبة Ready or Not,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
45,Craft The World Wonderwood,N/A,https://www.wifi4games.com/pc_games/Craft_The_World_Wonderwood.html,تحميل لعبة Craft The World - Wonderwood,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
46,Road Rash,N/A,https://www.wifi4games.com/pc_games/Road_Rash.html,تحميل اللعبة القديمة رود راش Road Rash,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
47,Assassin's Creed Mirage,N/A,https://www.wifi4games.com/pc_games/Assassin's_Creed_Mirage.html,تحميل لعبة أساسنز كريد: ميراج Assassin's Creed Mirage مع اللغة العربية,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
48,Motel Manager Simulator,N/A,https://www.wifi4games.com/pc_games/Motel_Manager_Simulator.html,تحميل لعبة ادارة النُّزُل Motel Manager Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
49,Gunsmith Simulator,N/A,https://www.wifi4games.com/pc_games/Gunsmith_Simulator.html,تحميل لعبة محاكي تصنيع الاسلحة Gunsmith Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
